Species,distance_m
Agama_agama,633717.5625
Ameiva_ameiva,289183.3863
Anolis_carolinensis,178971.6363
Anolis_chlorocyanus,51095.39188
Anolis_cristatellus,16617.48275
Anolis_cybotes,34006.44775
Anolis_distichus,215035.37
Anolis_equestris,78617.715
Anolis_garmani,37594.4525
Anolis_porcatus,178971.6363
Anolis_sagrei,73352.0425
Aspidoscelis_motaguae,137213.6288
Basiliscus_vittatus,170154.6963
Cnemidophorus_lemniscatus,454501.0113
Ctenosaura_pectinata,101578.4963
Ctenosaura_similis,139846.465
Eutropis_multifasciata,475808.6163
Furcifer_oustaleti,125212.7938
Gekko_gecko,428662.4788
Hemidactylus_frenatus,500789.9463
Hemidactylus_garnotii,603470.56
Hemidactylus_mabouia,583142.615
Hemidactylus_platyurus,423458.035
Hemidactylus_turcicus,235608.23
Iguana_iguana,462154.605
Leiocephalus_carinatus,88614.7
Leiocephalus_schreibersii,60904.23763
Leiolepis_belliana,256119.8613
Tarentola_annularis,1896866.675
Tupinambis_merianae,755562.775
Varanus_niloticus,815566.95
